"Time (UTCG)","Beta Angle (deg)"
1 Jan 2021 00:00:00.000,-22.999
1 Jan 2021 01:00:00.000,-22.996
1 Jan 2021 02:00:00.000,-22.992
1 Jan 2021 03:00:00.000,-22.989
1 Jan 2021 04:00:00.000,-22.985
1 Jan 2021 05:00:00.000,-22.982
1 Jan 2021 06:00:00.000,-22.978
1 Jan 2021 07:00:00.000,-22.975
1 Jan 2021 08:00:00.000,-22.971
1 Jan 2021 09:00:00.000,-22.968
1 Jan 2021 10:00:00.000,-22.964
1 Jan 2021 11:00:00.000,-22.961
1 Jan 2021 12:00:00.000,-22.957
1 Jan 2021 13:00:00.000,-22.954
1 Jan 2021 14:00:00.000,-22.950
1 Jan 2021 15:00:00.000,-22.946
1 Jan 2021 16:00:00.000,-22.943
1 Jan 2021 17:00:00.000,-22.939
1 Jan 2021 18:00:00.000,-22.935
1 Jan 2021 19:00:00.000,-22.932
1 Jan 2021 20:00:00.000,-22.928
1 Jan 2021 21:00:00.000,-22.924
1 Jan 2021 22:00:00.000,-22.921
1 Jan 2021 23:00:00.000,-22.917
2 Jan 2021 00:00:00.000,-22.913
2 Jan 2021 01:00:00.000,-22.909
2 Jan 2021 02:00:00.000,-22.906
2 Jan 2021 03:00:00.000,-22.902
2 Jan 2021 04:00:00.000,-22.898
2 Jan 2021 05:00:00.000,-22.894
2 Jan 2021 06:00:00.000,-22.890
2 Jan 2021 07:00:00.000,-22.886
2 Jan 2021 08:00:00.000,-22.883
2 Jan 2021 09:00:00.000,-22.879
2 Jan 2021 10:00:00.000,-22.875
2 Jan 2021 11:00:00.000,-22.871
2 Jan 2021 12:00:00.000,-22.867
2 Jan 2021 13:00:00.000,-22.863
2 Jan 2021 14:00:00.000,-22.859
2 Jan 2021 15:00:00.000,-22.855
2 Jan 2021 16:00:00.000,-22.851
2 Jan 2021 17:00:00.000,-22.847
2 Jan 2021 18:00:00.000,-22.843
2 Jan 2021 19:00:00.000,-22.839
2 Jan 2021 20:00:00.000,-22.835
2 Jan 2021 21:00:00.000,-22.831
2 Jan 2021 22:00:00.000,-22.827
2 Jan 2021 23:00:00.000,-22.823
3 Jan 2021 00:00:00.000,-22.819
3 Jan 2021 01:00:00.000,-22.815
3 Jan 2021 02:00:00.000,-22.811
