"Time (EpDay)","Beta Angle (deg)"
0.00000000,-22.999
1.00000000,-22.913
2.00000000,-22.819
3.00000000,-22.718
4.00000000,-22.609
5.00000000,-22.493
6.00000000,-22.369
7.00000000,-22.238
8.00000000,-22.100
9.00000000,-21.954
10.00000000,-21.801
11.00000000,-21.642
12.00000000,-21.475
13.00000000,-21.301
14.00000000,-21.121
15.00000000,-20.933
16.00000000,-20.739
17.00000000,-20.539
18.00000000,-20.332
19.00000000,-20.119
20.00000000,-19.899
21.00000000,-19.673
22.00000000,-19.441
23.00000000,-19.203
24.00000000,-18.960
25.00000000,-18.710
26.00000000,-18.455
27.00000000,-18.194
28.00000000,-17.928
29.00000000,-17.656
30.00000000,-17.380
31.00000000,-17.098
32.00000000,-16.811
33.00000000,-16.519
34.00000000,-16.222
35.00000000,-15.921
36.00000000,-15.615
37.00000000,-15.305
38.00000000,-14.990
39.00000000,-14.671
40.00000000,-14.348
41.00000000,-14.021
42.00000000,-13.690
43.00000000,-13.355
44.00000000,-13.017
45.00000000,-12.675
46.00000000,-12.330
47.00000000,-11.981
48.00000000,-11.629
49.00000000,-11.275
50.00000000,-10.917
51.00000000,-10.556
52.00000000,-10.193
53.00000000,-9.827
54.00000000,-9.459
55.00000000,-9.089
56.00000000,-8.716
57.00000000,-8.341
58.00000000,-7.964
59.00000000,-7.585
60.00000000,-7.204
61.00000000,-6.822
62.00000000,-6.438
63.00000000,-6.052
64.00000000,-5.665
65.00000000,-5.277
66.00000000,-4.887
67.00000000,-4.496
68.00000000,-4.105
69.00000000,-3.712
70.00000000,-3.319
71.00000000,-2.925
72.00000000,-2.531
73.00000000,-2.136
74.00000000,-1.740
75.00000000,-1.345
76.00000000,-0.949
77.00000000,-0.554
78.00000000,-0.158
79.00000000,0.237
80.00000000,0.632
81.00000000,1.026
82.00000000,1.420
83.00000000,1.814
84.00000000,2.206
85.00000000,2.598
86.00000000,2.989
87.00000000,3.379
88.00000000,3.768
89.00000000,4.156
90.00000000,4.542
91.00000000,4.927
92.00000000,5.311
93.00000000,5.693
94.00000000,6.074
95.00000000,6.453
96.00000000,6.830
97.00000000,7.205
98.00000000,7.578
99.00000000,7.949
100.00000000,8.317
101.00000000,8.684
102.00000000,9.048
103.00000000,9.410
104.00000000,9.768
105.00000000,10.125
106.00000000,10.478
107.00000000,10.829
108.00000000,11.176
109.00000000,11.520
110.00000000,11.862
